Suite name,Test name,Test number,Pins,Lsl,Usl,Units,Bin_h_num,Bin_s_num,Bin_s_name
H15_ALOS_TH_COMMON_10G3125_ATE_VDDN,Alos_all0_min,70000000,,50,190,,6,7000,H15_ALOS_TH_COMMON_10G3125_ATE_VDDN
H15_ALOS_TH_COMMON_10G3125_ATE_VDDN,Alos_all1_max,70010000,,40,170,,6,7001,H15_ALOS_TH_COMMON_10G3125_ATE_VDDN
H15_ALOS_TH_COMMON_2G5_ATE_VDDN_ADD,Alos_all0_min,70020000,,50,190,,6,7002,H15_ALOS_TH_COMMON_2G5_ATE_VDDN_ADD
H15_ALOS_TH_COMMON_2G5_ATE_VDDN_ADD,Alos_all1_max,70030000,,40,170,,6,7003,H15_ALOS_TH_COMMON_2G5_ATE_VDDN_ADD
H15_ALOS_TH_COMMON_5G_ATE_VDDN_ADD,Alos_all0_min,70040000,,50,190,,6,7004,H15_ALOS_TH_COMMON_5G_ATE_VDDN_ADD
H15_ALOS_TH_COMMON_5G_ATE_VDDN_ADD,Alos_all1_max,70050000,,40,170,,6,7005,H15_ALOS_TH_COMMON_5G_ATE_VDDN_ADD
H15_ALOS_TH_COMMON_8G_ATE_VDDN_ADD,Alos_all0_min,70060000,,50,190,,6,7006,H15_ALOS_TH_COMMON_8G_ATE_VDDN_ADD
H15_ALOS_TH_COMMON_8G_ATE_VDDN_ADD,Alos_all1_max,70070000,,40,170,,6,7007,H15_ALOS_TH_COMMON_8G_ATE_VDDN_ADD
H15_ALOS_TH_PCIE_2G5_ATE_VDDN,Alos_all0_min,70080000,,20,100,mV,6,7008,H15_ALOS_TH_PCIE_8G_ATE_Failed
H15_ALOS_TH_PCIE_2G5_ATE_VDDN,Alos_all1_max,70090000,,10,90,mV,6,7009,H15_ALOS_TH_PCIE_8G_ATE_Failed
H15_ALOS_TH_PCIE_5G_ATE_VDDN,Alos_all0_min,70100000,,20,100,mV,6,7010,H15_ALOS_TH_PCIE_8G_ATE_Failed
H15_ALOS_TH_PCIE_5G_ATE_VDDN,Alos_all1_max,70110000,,10,90,mV,6,7011,H15_ALOS_TH_PCIE_8G_ATE_Failed
H15_ALOS_TH_PCIE_8G_ATE_VDDN,Alos_all0_min,70120000,,20,100,mV,6,7012,H15_ALOS_TH_PCIE_8G_ATE_Failed
H15_ALOS_TH_PCIE_8G_ATE_VDDN,Alos_all1_max,70130000,,10,90,mV,6,7013,H15_ALOS_TH_PCIE_8G_ATE_Failed
H15_AVS_Verify_10G3125_ABIST_VDDH_VDDH,DVDD_Max,70140000,,1050000,1050000,uV,6,7014,H15_AVS_Verify_10G3125_ABIST_VDDH_VDDH_Failed
H15_AVS_Verify_10G3125_ABIST_VDDH_VDDH,DVDD_Min,70150000,,806250,812500,uV,6,7015,H15_AVS_Verify_10G3125_ABIST_VDDH_VDDH_Failed
H15_AVS_Verify_10G3125_ABIST_VDDL_VDDL,DVDD_Max,70160000,,1050000,1050000,uV,6,7016,H15_AVS_Verify_10G3125_ABIST_VDDL_VDDL_Failed
H15_AVS_Verify_10G3125_ABIST_VDDL_VDDL,DVDD_Min,70170000,,806250,812500,uV,6,7017,H15_AVS_Verify_10G3125_ABIST_VDDL_VDDL_Failed
H15_AVS_Verify_10G3125_ABIST_VDDN,DVDD_Max,70180000,,1050000,1050000,uV,6,7018,H15_AVS_Verify_10G3125_ABIST_VDDN_Failed
H15_AVS_Verify_10G3125_ABIST_VDDN,DVDD_Min,70190000,,806250,812500,uV,6,7019,H15_AVS_Verify_10G3125_ABIST_VDDN_Failed
H15_ClkPurityFmax_6G25_CSL_ABIST_VDDN,EyePhaseDivPt,70200000,,0,5,pt,6,7020,H15_ClkPurityFmax_6G25_CSL_ABIST_VDDN_Failed
H15_ClkPurityFmax_6G25_CSL_ABIST_VDDN,MaxJitterUI,70210000,,0.01,0.3,UI,6,7021,H15_ClkPurityFmax_6G25_CSL_ABIST_VDDN_Failed
H15_ClkPurityFmax_6G25_CSL_ABIST_VDDN_1,EyePhaseDivPt,70220000,,0,5,pt,6,7022,H15_ClkPurityFmax_6G25_CSL_ABIST_VDDN_1_Failed
H15_ClkPurityFmax_6G25_CSL_ABIST_VDDN_1,MaxJitterUI,70230000,,0.01,0.3,UI,6,7023,H15_ClkPurityFmax_6G25_CSL_ABIST_VDDN_1_Failed
H15_ClkPurityFmin_5G_CSL_ABIST_VDDN,EyePhaseDivPt,70240000,,0,5,pt,6,7024,H15_ClkPurityFmin_5G_CSL_ABIST_VDDN_Failed
H15_ClkPurityFmin_5G_CSL_ABIST_VDDN,MaxJitterUI,70250000,,0.01,0.3,UI,6,7025,H15_ClkPurityFmin_5G_CSL_ABIST_VDDN_Failed
H15_ClkPurityFmin_5G_CSL_ABIST_VDDN_1,EyePhaseDivPt,70260000,,0,5,pt,6,7026,H15_ClkPurityFmin_5G_CSL_ABIST_VDDN_1_Failed
H15_ClkPurityFmin_5G_CSL_ABIST_VDDN_1,MaxJitterUI,70270000,,0.01,0.3,UI,6,7027,H15_ClkPurityFmin_5G_CSL_ABIST_VDDN_1_Failed
H15_OOB_TH_SATA_1G5_ATE_VDDN,Squelch_burst_min,70280000,,20,100,mV,6,7028,H15_ALOS_TH_PCIE_8G_ATE_Failed
